word,English-French,English-Hindi,French-Hindi
flower,0.9506081,-0.28927246,-0.32164732
flower,0.99124503,-0.18240412,-0.17971818
flower,0.9832017,-0.08047961,-0.08591822
confidence,0.98216236,-0.27184573,-0.27951533
confidence,0.99720585,-0.057565294,-0.069461286
confidence,0.83856064,-0.08902186,-0.13691211
archaeology,1.0000006,-0.04175052,-0.04175052
archaeology,0.9802643,-0.1427828,-0.12642658
archaeology,0.84910274,-0.031640075,-0.013921879
independence,0.8560581,0.007618973,0.070098564
independence,0.97588485,0.02691467,0.028323371
independence,0.9046473,-0.39495185,-0.42010003
banana,1.0000011,-0.16566744,-0.16566744
banana,1.0000002,-0.07619598,-0.07619598
banana,0.9843652,-0.25247622,-0.2285928
scenery,0.96844673,-0.06394348,-0.08041097
scenery,0.9098563,-0.040947594,-0.069067806
scenery,0.9453867,-0.022095785,-0.060343
courage,0.927017,-0.13768375,-0.16880116
courage,0.9511288,-0.084726214,-0.101530515
courage,0.89187235,-0.12426809,-0.14611553
contentment,0.990343,-0.08521415,-0.081687026
contentment,0.9736844,-0.11018959,-0.14575212
contentment,0.9698117,-0.20580015,-0.16368268
sunbeam,1.0000004,-0.45123965,-0.45123965
sunbeam,1.0000002,-0.080671765,-0.080671765
sunbeam,1.0000001,-0.312752,-0.312752
starfish,0.9201822,-0.013640721,-0.051002555
starfish,1.0000002,-0.31713215,-0.31713215
starfish,0.99999994,0.9267801,0.9267801
hummingbird,0.9923263,1.0000005,0.9923263
hummingbird,0.98784196,-0.09243743,-0.09444347
hummingbird,0.98180324,-0.08317715,-0.057179227
resolution,0.92912674,-0.19903982,-0.16950816
resolution,0.910911,-0.19681612,-0.19944566
resolution,0.838087,-0.111598365,-0.07518099
construction,0.9706108,-0.16006844,-0.12573299
construction,0.9790129,-0.12879024,-0.11583378
construction,0.9724572,-0.10170221,-0.050237153
inspiration,0.9243871,-0.09081404,-0.059993118
inspiration,0.9656064,-0.25412413,-0.29672474
inspiration,0.9932052,-0.12962024,-0.11696125
leadership,0.99428934,-0.17475823,-0.15023541
leadership,0.94474506,-0.12507668,-0.10828664
leadership,0.98268014,-0.13321318,-0.12697099
enthusiasm,0.9604409,-0.15656658,-0.14469683
enthusiasm,1.0000007,-0.1027523,-0.1027523
enthusiasm,0.99330086,-0.09217796,-0.09141565
valor,0.94363326,-0.34749898,-0.24434453
valor,0.9712165,-0.27288166,-0.21697278
valor,1.0000002,-0.09947399,-0.09947399
laughter,0.97690004,-0.119800344,-0.090346225
laughter,0.99999964,-0.19625974,-0.19625974
laughter,0.99321365,-0.14988613,-0.14825268
equality,0.94623137,-0.08859229,-0.043304414
equality,0.9609652,-0.09114264,-0.11310605
equality,0.99999994,-0.19048503,-0.19048503
jellyfish,0.98056144,-0.083254226,-0.042407777
jellyfish,0.98337555,0.031489998,0.0075743385
jellyfish,1.0000002,-0.22331052,-0.22331052
energy,0.92324233,-0.11515587,-0.114046976
energy,0.89826936,-0.0910947,-0.06684468
energy,1.0000004,-0.14488459,-0.14488459
calmness,1.0000001,0.93518335,0.93518335
calmness,0.98978966,-0.26701888,-0.27382934
calmness,1.0000002,-0.05837505,-0.05837505
happiness,0.95307255,-0.37177235,-0.34394673
happiness,1.0000002,-0.27542928,-0.27542928
happiness,1.0000002,-0.15525861,-0.15525861
eternity,1.0,-0.13493198,-0.13493198
eternity,0.9715189,-0.4000851,-0.4047643
eternity,0.9785281,-0.24441835,-0.21697278
art,0.9546334,-0.108521715,-0.08967385
art,0.85655445,0.028326698,0.06302369
art,1.0000004,-0.16037726,-0.16037726
violet,0.97038203,-0.13108145,-0.12124136
violet,0.9682719,-0.2611238,-0.18529247
violet,0.9999997,-0.0864669,-0.0864669
science,0.9999997,-0.06852093,-0.06852093
science,0.98394716,-0.15577045,-0.1361661
science,0.9822353,-0.06763863,-0.035814498
equation,0.98959506,-0.09801692,-0.088429116
equation,0.9663133,-0.14265722,-0.119878925
equation,1.0,-0.107271194,-0.107271194
justice,0.9072596,-0.15712821,-0.08712137
justice,0.98173684,-0.072682306,-0.05010019
justice,1.0000006,-0.14934207,-0.14934207
alligator,0.98493403,-0.04621679,-0.08987827
alligator,0.9742064,-0.043688722,-0.020795662
alligator,0.9913419,-0.24915639,-0.2320219
dandelion,0.94500136,-0.11464634,-0.048077382
dandelion,0.8733334,-0.43462217,-0.4293176
dandelion,0.96238965,-0.10686161,-0.09879174
humility,0.8101595,-0.0964873,-0.04488336
humility,0.9999999,-0.090445824,-0.090445824
humility,0.97890973,-0.15890375,-0.14131756
pollination,0.9840906,0.003553003,0.0058879163
pollination,0.99170953,-0.10096912,-0.08862307
pollination,1.0,-0.38852865,-0.38852865
balance,0.95946467,-0.16116132,-0.10143374
balance,0.97790617,0.032708846,0.04390437
balance,0.97872746,-0.17165016,-0.12379539
commitment,1.0000001,-0.11056045,-0.11056045
commitment,0.8016632,-0.3325168,-0.2735363
commitment,0.8539203,-0.16782092,-0.119878925
legacy,1.0000007,-0.13539019,-0.13539019
legacy,0.9605483,-0.3202007,-0.3120723
legacy,0.98392713,-0.12216185,-0.11997853
solar,0.9174062,-0.07593642,-0.074330665
solar,0.9732686,-0.124973916,-0.096438594
solar,0.9612567,-0.23387773,-0.16130978
kite,0.9753529,-0.006147204,-0.071573414
kite,0.98417145,-0.11987507,-0.14311376
kite,0.98689216,-0.060334884,-0.07680708
zenith,0.9472456,-0.11940403,-0.14176723
zenith,1.0000005,-0.10222341,-0.10222341
zenith,0.97653615,-0.26541832,-0.2814928
cellphone,0.9830724,0.9050416,0.9212337
cellphone,0.82911384,-0.25064364,-0.32098672
cellphone,0.9676519,0.004678514,0.041279662
virtue,0.97769195,-0.09854768,-0.10817236
virtue,1.0000006,-0.101804346,-0.101804346
virtue,1.0000004,-0.13523573,-0.13523573
ocean,0.9526555,-0.13923882,-0.17531645
ocean,0.99612993,-0.11785944,-0.12112871
ocean,1.0000011,-0.11782512,-0.11782512
flamingo,0.97216374,-0.33946973,-0.3331475
flamingo,0.7693478,-0.15015566,-0.088156216
flamingo,0.9798508,-0.1155249,-0.118916735
telescope,0.97040683,-0.07451329,-0.05083373
telescope,0.98511064,-0.023631461,-0.020015506
telescope,0.9999998,-0.08431177,-0.08431177
diversity,0.9917721,-0.34653875,-0.3465885
diversity,0.99999994,-0.07706275,-0.07706275
diversity,0.96474385,-0.0665593,-0.081816345
dream,0.9534334,-0.097325414,-0.05791945
dream,0.9739412,-0.11305559,-0.11920735
dream,0.95059067,-0.13047175,-0.13590075
passion,0.9682814,-0.074006885,-0.084623516
passion,0.9548459,-0.253747,-0.30415338
passion,0.97374773,-0.24793606,-0.24432568
sanctuary,0.98896873,-0.016416185,-0.019357817
sanctuary,0.9719119,-0.19061477,-0.1594968
sanctuary,0.98815745,-0.3086046,-0.3144937
joy,0.9667148,-0.09822991,-0.088311054
joy,0.9550433,-0.27606896,-0.25760937
joy,0.99250746,-0.055996392,-0.05455406
freedom,0.9760808,-0.017323913,-0.07993863
freedom,0.9772114,-0.16601492,-0.14603525
freedom,0.9999996,-0.3502598,-0.3502598
cactus,0.9792212,-0.34303194,-0.31330314
